title,publisher,setName,subSet,setCount,releaseDate,setYear,tcdbUrl,priceguideUrl,setType
2001 Donruss Elite - Back 2 Back Jacks,,,,45,,2001,https://www.tcdb.com/ViewSet.cfm/sid/12711/2001-Donruss-Elite---Back-2-Back-Jacks,,Baseball
2015 Topps Definitive Collection - Red NFL Shield,,,,0,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127110/2015-Topps-Definitive-Collection---Red-NFL-Shield,,Football
2015 Topps Definitive Collection - Red Team Logo Glove,,,,0,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127111/2015-Topps-Definitive-Collection---Red-Team-Logo-Glove,,Football
2015 Topps Definitive Collection - Red Team Logo Patch,,,,0,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127112/2015-Topps-Definitive-Collection---Red-Team-Logo-Patch,,Football
2015 Topps Definitive Collection - Red The Duke Ball,,,,0,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127113/2015-Topps-Definitive-Collection---Red-The-Duke-Ball,,Football
2015 Topps Definitive Collection - Autograph Inscriptions,,,,43,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127114/2015-Topps-Definitive-Collection---Autograph-Inscriptions,,Football
2015 Topps Definitive Collection - Autograph Inscriptions Red,,,,43,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127115/2015-Topps-Definitive-Collection---Autograph-Inscriptions-Red,,Football
2015 Topps Definitive Collection - Definitive Autograph Patch,,,,50,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127116/2015-Topps-Definitive-Collection---Definitive-Autograph-Patch,,Football
2015 Topps Definitive Collection - Definitive Autograph Patch Blue,,,,50,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127117/2015-Topps-Definitive-Collection---Definitive-Autograph-Patch-Blue,,Football
2015 Topps Definitive Collection - Definitive Autograph Patch Green,,,,50,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127118/2015-Topps-Definitive-Collection---Definitive-Autograph-Patch-Green,,Football
2015 Topps Definitive Collection - Definitive Autograph Patch Pink,,,,0,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127119/2015-Topps-Definitive-Collection---Definitive-Autograph-Patch-Pink,,Football
2001 Donruss Elite - Back 2 Back Jacks Autograph,,,,16,,2001,https://www.tcdb.com/ViewSet.cfm/sid/12712/2001-Donruss-Elite---Back-2-Back-Jacks-Autograph,,Baseball
2015 Topps Definitive Collection - Definitive Autograph Patch Red,,,,50,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127120/2015-Topps-Definitive-Collection---Definitive-Autograph-Patch-Red,,Football
2015 Topps Definitive Collection - Definitive Helmet Relic,,,,10,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127121/2015-Topps-Definitive-Collection---Definitive-Helmet-Relic,,Football
2015 Topps Definitive Collection - Definitive Helmet Relic Blue,,,,10,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127122/2015-Topps-Definitive-Collection---Definitive-Helmet-Relic-Blue,,Football
2015 Topps Definitive Collection - Definitive Helmet Relic Red,,,,10,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127123/2015-Topps-Definitive-Collection---Definitive-Helmet-Relic-Red,,Football
2015 Topps Definitive Collection - Definitive Patch,,,,99,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127124/2015-Topps-Definitive-Collection---Definitive-Patch,,Football
2015 Topps Definitive Collection - Definitive Rookie Autographs,,,,40,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127125/2015-Topps-Definitive-Collection---Definitive-Rookie-Autographs,,Football
2015 Topps Definitive Collection - Definitive Rookie Autographs Blue,,,,40,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127126/2015-Topps-Definitive-Collection---Definitive-Rookie-Autographs-Blue,,Football
2015 Topps Definitive Collection - Definitive Rookie Autographs Green,,,,40,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127127/2015-Topps-Definitive-Collection---Definitive-Rookie-Autographs-Green,,Football
2015 Topps Definitive Collection - Definitive Rookie Autographs Pink,,,,0,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127128/2015-Topps-Definitive-Collection---Definitive-Rookie-Autographs-Pink,,Football
